elapsed_seconds,timestamp,gpu_uuid,sm_clock_mhz,memory_clock_mhz,temperature_c,power_w,utilization_percent
588.9961433410645,2026/09/18 11:26:46.527,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.84,96
594.0290558338165,2026/09/18 11:26:51.559,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.48,95
599.0609364509583,2026/09/18 11:26:56.592,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.68,95
604.0945031642914,2026/09/18 11:27:01.625,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.76,96
609.1275219917297,2026/09/18 11:27:06.659,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.83,96
614.1618077754974,2026/09/18 11:27:11.692,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.62,96
619.1945836544037,2026/09/18 11:27:16.726,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.55,96
624.2279849052429,2026/09/18 11:27:21.759,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.56,96
629.2607674598694,2026/09/18 11:27:26.791,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.14,96
634.2938907146454,2026/09/18 11:27:31.825,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.74,96
639.3270733356476,2026/09/18 11:27:36.859,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.97,96
644.360996723175,2026/09/18 11:27:41.891,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.82,95
649.3943016529083,2026/09/18 11:27:46.925,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.89,96
654.427826166153,2026/09/18 11:27:51.959,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,162.78,96
659.4621641635895,2026/09/18 11:27:56.993,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,162.47,96
664.4954082965851,2026/09/18 11:28:02.027,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.85,96
669.5284678936005,2026/09/18 11:28:07.059,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.61,96
674.5609056949615,2026/09/18 11:28:12.096,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.88,96
679.598424911499,2026/09/18 11:28:17.130,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.78,96
684.6327760219574,2026/09/18 11:28:22.164,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.69,96
689.6660051345825,2026/09/18 11:28:27.202,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.49,96
694.7047109603882,2026/09/18 11:28:32.236,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.43,96
699.7379012107849,2026/09/18 11:28:37.267,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.66,96
704.7693054676056,2026/09/18 11:28:42.300,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.62,96
709.8024199008942,2026/09/18 11:28:47.332,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.61,96
714.8349454402924,2026/09/18 11:28:52.364,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.37,94
719.8666198253632,2026/09/18 11:28:57.397,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.79,96
724.8993775844574,2026/09/18 11:29:02.430,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.74,96
729.9322030544281,2026/09/18 11:29:07.462,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.86,96
734.9646759033203,2026/09/18 11:29:12.495,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.91,96
739.9969832897186,2026/09/18 11:29:17.528,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.23,96
745.0297362804413,2026/09/18 11:29:22.559,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.80,95
750.0615427494049,2026/09/18 11:29:27.593,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.78,96
755.0951492786407,2026/09/18 11:29:32.626,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.54,96
760.1270775794983,2026/09/18 11:29:37.657,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.00,96
765.1590297222137,2026/09/18 11:29:42.691,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.53,95
